"Espacio";"Asalariados";"Percepciones  por persona";"Salarios";"Salario  Medio Anual";"sexo";"edad";"nacionalidad";"erte"
"Aragón";104482;1,5;1937214239;18541;"Total";"De 26 a 35 años";"Total";"No"
"Asturias, Principado de";58448;1,45;1036257641;17730;"Total";"De 26 a 35 años";"Total";"No"
"Balears,Illes";93191;1,47;1620636480;17390;"Total";"De 26 a 35 años";"Total";"No"
"Canarias";165334;1,43;2467303798;14923;"Total";"De 26 a 35 años";"Total";"No"
"Cantabria";38346;1,45;658918697;17184;"Total";"De 26 a 35 años";"Total";"No"
"Castilla y León";161189;1,49;2832593232;17573;"Total";"De 26 a 35 años";"Total";"No"
"Castilla - La Mancha";169967;1,57;2808580849;16524;"Total";"De 26 a 35 años";"Total";"No"
"Cataluña";635570;1,48;13545667192;21313;"Total";"De 26 a 35 años";"Total";"No"
"Comunitat Valenciana";384366;1,5;6495049184;16898;"Total";"De 26 a 35 años";"Total";"No"
"Extremadura";88309;1,75;1203245627;13625;"Total";"De 26 a 35 años";"Total";"No"
"Galicia";181315;1,46;3080323924;16989;"Total";"De 26 a 35 años";"Total";"No"
"Madrid, Comunidad de";627086;1,48;13939690116;22229;"Total";"De 26 a 35 años";"Total";"No"
"Murcia, Región de";128305;1,57;2022932164;15767;"Total";"De 26 a 35 años";"Total";"No"
"Rioja, La";21328;1,52;364166639;17075;"Total";"De 26 a 35 años";"Total";"No"
"Ceuta";6846;1,42;117514724;17165;"Total";"De 26 a 35 años";"Total";"No"
"Melilla";7450;1,43;133269149;17888;"Total";"De 26 a 35 años";"Total";"No"
"Total";268603;1,47;3343331978;12447;"Total";"De 26 a 35 años";"Total";"Sí"
"Andalucía";43642;1,4;497020688;11389;"Total";"De 26 a 35 años";"Total";"Sí"
"Aragón";6856;1,4;103633861;15116;"Total";"De 26 a 35 años";"Total";"Sí"
"Asturias, Principado de";5248;1,43;61571924;11732;"Total";"De 26 a 35 años";"Total";"Sí"
"Balears,Illes";16537;1,3;216843718;13113;"Total";"De 26 a 35 años";"Total";"Sí"
"Canarias";22163;1,3;213571042;9636;"Total";"De 26 a 35 años";"Total";"Sí"
"Cantabria";2405;1,38;29171508;12130;"Total";"De 26 a 35 años";"Total";"Sí"
"Castilla y León";12913;1,45;167901668;13003;"Total";"De 26 a 35 años";"Total";"Sí"
"Castilla - La Mancha";9188;1,47;111602456;12147;"Total";"De 26 a 35 años";"Total";"Sí"
"Cataluña";56954;1,45;784303662;13771;"Total";"De 26 a 35 años";"Total";"Sí"
"Comunitat Valenciana";30209;1,85;377991981;12513;"Total";"De 26 a 35 años";"Total";"Sí"
"Extremadura";4732;1,45;49758280;10515;"Total";"De 26 a 35 años";"Total";"Sí"
"Galicia";15023;1,47;176992796;11781;"Total";"De 26 a 35 años";"Total";"Sí"
"Madrid, Comunidad de";34499;1,46;460206927;13340;"Total";"De 26 a 35 años";"Total";"Sí"
"Murcia, Región de";5534;1,52;58546178;10579;"Total";"De 26 a 35 años";"Total";"Sí"
"Rioja, La";2214;1,44;29517979;13332;"Total";"De 26 a 35 años";"Total";"Sí"
"Ceuta";165;1,33;1579224;9571;"Total";"De 26 a 35 años";"Total";"Sí"
"Melilla";321;1,42;3118087;9714;"Total";"De 26 a 35 años";"Total";"Sí"
"Total";4312660;1,3;104241151883;24171;"Total";"De 36 a 45 años";"Española";"Total"
"Andalucía";843613;1,41;16419042120;19463;"Total";"De 36 a 45 años";"Española";"Total"
"Aragón";124694;1,25;3103512763;24889;"Total";"De 36 a 45 años";"Española";"Total"
"Asturias, Principado de";98312;1,27;2267782926;23067;"Total";"De 36 a 45 años";"Española";"Total"
"Balears,Illes";105551;1,25;2429290391;23015;"Total";"De 36 a 45 años";"Española";"Total"
"Canarias";205124;1,25;4026198570;19628;"Total";"De 36 a 45 años";"Española";"Total"
"Cantabria";58479;1,24;1322367779;22613;"Total";"De 36 a 45 años";"Española";"Total"
"Castilla y León";222180;1,26;5020761535;22598;"Total";"De 36 a 45 años";"Española";"Total"
"Castilla - La Mancha";203158;1,29;4535772312;22326;"Total";"De 36 a 45 años";"Española";"Total"
"Cataluña";715804;1,27;20277525155;28328;"Total";"De 36 a 45 años";"Española";"Total"
"Comunitat Valenciana";481078;1,3;10825799403;22503;"Total";"De 36 a 45 años";"Española";"Total"
"Extremadura";103615;1,41;1896988975;18308;"Total";"De 36 a 45 años";"Española";"Total"
"Galicia";278272;1,26;6033005641;21680;"Total";"De 36 a 45 años";"Española";"Total"
"Madrid, Comunidad de";687932;1,26;21944363058;31899;"Total";"De 36 a 45 años";"Española";"Total"
"Murcia, Región de";143146;1,28;3124536478;21828;"Total";"De 36 a 45 años";"Española";"Total"
"Rioja, La";27805;1,24;649017822;23342;"Total";"De 36 a 45 años";"Española";"Total"
"Total";741198;1,62;11112784812;14993;"Total";"De 36 a 45 años";"Extranjera";"Total"
"Andalucía";100474;1,97;1108485965;11033;"Total";"De 36 a 45 años";"Extranjera";"Total"
"Aragón";28734;1,65;406414641;14144;"Total";"De 36 a 45 años";"Extranjera";"Total"
"Asturias, Principado de";5677;1,54;75837235;13359;"Total";"De 36 a 45 años";"Extranjera";"Total"
"Balears,Illes";32787;1,4;473095615;14429;"Total";"De 36 a 45 años";"Extranjera";"Total"
"Canarias";31067;1,41;353974296;11394;"Total";"De 36 a 45 años";"Extranjera";"Total"
"Cantabria";4780;1,55;60874808;12735;"Total";"De 36 a 45 años";"Extranjera";"Total"
"Castilla y León";23104;1,57;305539897;13225;"Total";"De 36 a 45 años";"Extranjera";"Total"
"Castilla - La Mancha";33194;1,93;421190091;12689;"Total";"De 36 a 45 años";"Extranjera";"Total"
"Cataluña";187933;1,47;3407830114;18133;"Total";"De 36 a 45 años";"Extranjera";"Total"
"Comunitat Valenciana";87085;1,65;1148368214;13187;"Total";"De 36 a 45 años";"Extranjera";"Total"
"Extremadura";5434;2,88;51343492;9449;"Total";"De 36 a 45 años";"Extranjera";"Total"
"Galicia";15547;1,53;208971185;13441;"Total";"De 36 a 45 años";"Extranjera";"Total"
"Madrid, Comunidad de";140036;1,44;2532668942;18086;"Total";"De 36 a 45 años";"Extranjera";"Total"
"Murcia, Región de";37204;1,99;450358442;12105;"Total";"De 36 a 45 años";"Extranjera";"Total"
"Rioja, La";6019;1,68;82992374;13788;"Total";"De 36 a 45 años";"Extranjera";"Total"
"Total";4706675;1,35;110239054243;23422;"Total";"De 36 a 45 años";"Total";"No"
"Andalucía";888522;1,48;16794269135;18901;"Total";"De 36 a 45 años";"Total";"No"
"Aragón";144588;1,33;3359638242;23236;"Total";"De 36 a 45 años";"Total";"No"
"Asturias, Principado de";95704;1,29;2227892489;23279;"Total";"De 36 a 45 años";"Total";"No"
"Balears,Illes";117324;1,31;2588933843;22067;"Total";"De 36 a 45 años";"Total";"No"
"Canarias";206849;1,28;4071854965;19685;"Total";"De 36 a 45 años";"Total";"No"
"Cantabria";59282;1,27;1323083062;22318;"Total";"De 36 a 45 años";"Total";"No"
"Castilla y León";227916;1,3;5066316661;22229;"Total";"De 36 a 45 años";"Total";"No"
"Castilla - La Mancha";225461;1,38;4798676667;21284;"Total";"De 36 a 45 años";"Total";"No"
"Cataluña";833172;1,31;22520392171;27030;"Total";"De 36 a 45 años";"Total";"No"
"Comunitat Valenciana";528824;1,33;11395159325;21548;"Total";"De 36 a 45 años";"Total";"No"
"Extremadura";104317;1,5;1893087310;18147;"Total";"De 36 a 45 años";"Total";"No"
"Galicia";272696;1,28;5927572430;21737;"Total";"De 36 a 45 años";"Total";"No"
"Madrid, Comunidad de";781103;1,3;23693168984;30333;"Total";"De 36 a 45 años";"Total";"No"
"Murcia, Región de";174320;1,43;3503602689;20099;"Total";"De 36 a 45 años";"Total";"No"
"Rioja, La";31055;1,33;690659006;22240;"Total";"De 36 a 45 años";"Total";"No"
"Ceuta";7901;1,27;195829654;24785;"Total";"De 36 a 45 años";"Total";"No"
"Melilla";7641;1,29;188917609;24724;"Total";"De 36 a 45 años";"Total";"No"
"Total";347183;1,28;5114882452;14733;"Total";"De 36 a 45 años";"Total";"Sí"
"Andalucía";55565;1,22;733258950;13196;"Total";"De 36 a 45 años";"Total";"Sí"
"Aragón";8840;1,25;150289161;17001;"Total";"De 36 a 45 años";"Total";"Sí"
"Asturias, Principado de";8285;1,26;115727672;13968;"Total";"De 36 a 45 años";"Total";"Sí"
"Balears,Illes";21014;1,18;313452163;14916;"Total";"De 36 a 45 años";"Total";"Sí"
"Canarias";29342;1,19;308317901;10508;"Total";"De 36 a 45 años";"Total";"Sí"
"Cantabria";3977;1,21;60159526;15127;"Total";"De 36 a 45 años";"Total";"Sí"
"Castilla y León";17368;1,25;259984771;14969;"Total";"De 36 a 45 años";"Total";"Sí"
"Castilla - La Mancha";10891;1,27;158285736;14534;"Total";"De 36 a 45 años";"Total";"Sí"
"Cataluña";70565;1,25;1164963098;16509;"Total";"De 36 a 45 años";"Total";"Sí"
"Comunitat Valenciana";39339;1,63;579008292;14718;"Total";"De 36 a 45 años";"Total";"Sí"
"Extremadura";4732;1,29;55245158;11675;"Total";"De 36 a 45 años";"Total";"Sí"
"Galicia";21123;1,25;314404397;14884;"Total";"De 36 a 45 años";"Total";"Sí"
"Madrid, Comunidad de";46865;1,25;783863016;16726;"Total";"De 36 a 45 años";"Total";"Sí"
"Murcia, Región de";6030;1,3;71292231;11823;"Total";"De 36 a 45 años";"Total";"Sí"
"Rioja, La";2769;1,25;41351190;14934;"Total";"De 36 a 45 años";"Total";"Sí"
"Ceuta";190;1,26;1968852;10362;"Total";"De 36 a 45 años";"Total";"Sí"
"Melilla";288;1,27;3310339;11494;"Total";"De 36 a 45 años";"Total";"Sí"
"Total";4454222;1,24;120448905114;27042;"Total";"De 46 a 55 años";"Española";"Total"
"Andalucía";813546;1,35;17624730104;21664;"Total";"De 46 a 55 años";"Española";"Total"
"Aragón";138947;1,21;3779723064;27203;"Total";"De 46 a 55 años";"Española";"Total"
"Asturias, Principado de";104618;1,21;2728454902;26080;"Total";"De 46 a 55 años";"Española";"Total"
"Balears,Illes";106940;1,18;2760461764;25813;"Total";"De 46 a 55 años";"Española";"Total"
"Canarias";215718;1,18;4759299467;22063;"Total";"De 46 a 55 años";"Española";"Total"
"Cantabria";58868;1,2;1470158210;24974;"Total";"De 46 a 55 años";"Española";"Total"
"Castilla y León";245955;1,21;6048685040;24593;"Total";"De 46 a 55 años";"Española";"Total"
"Castilla - La Mancha";200950;1,24;4777374121;23774;"Total";"De 46 a 55 años";"Española";"Total"
"Cataluña";786096;1,21;24515791290;31187;"Total";"De 46 a 55 años";"Española";"Total"
"Comunitat Valenciana";495663;1,24;12183759183;24581;"Total";"De 46 a 55 años";"Española";"Total"
"Extremadura";107566;1,37;2097771027;19502;"Total";"De 46 a 55 años";"Española";"Total"
"Galicia";276775;1,2;6797872384;24561;"Total";"De 46 a 55 años";"Española";"Total"
"Madrid, Comunidad de";721361;1,21;26399108318;36596;"Total";"De 46 a 55 años";"Española";"Total"
"Murcia, Región de";138072;1,23;3335451606;24157;"Total";"De 46 a 55 años";"Española";"Total"
"Rioja, La";30227;1,21;774585442;25626;"Total";"De 46 a 55 años";"Española";"Total"
"Total";478261;1,56;7307868335;15280;"Total";"De 46 a 55 años";"Extranjera";"Total"
"Andalucía";64747;1,81;723581276;11176;"Total";"De 46 a 55 años";"Extranjera";"Total"
"Aragón";20748;1,62;287540582;13859;"Total";"De 46 a 55 años";"Extranjera";"Total"
"Asturias, Principado de";3281;1,48;45191280;13774;"Total";"De 46 a 55 años";"Extranjera";"Total"
"Balears,Illes";21444;1,34;334478508;15598;"Total";"De 46 a 55 años";"Extranjera";"Total"
"Canarias";22704;1,35;260005142;11452;"Total";"De 46 a 55 años";"Extranjera";"Total"
"Cantabria";3046;1,43;40952115;13445;"Total";"De 46 a 55 años";"Extranjera";"Total"
"Castilla y León";15379;1,51;196671260;12788;"Total";"De 46 a 55 años";"Extranjera";"Total"
"Castilla - La Mancha";21222;1,83;262761097;12382;"Total";"De 46 a 55 años";"Extranjera";"Total"
"Cataluña";112227;1,44;2080777414;18541;"Total";"De 46 a 55 años";"Extranjera";"Total"
"Comunitat Valenciana";62496;1,59;812936634;13008;"Total";"De 46 a 55 años";"Extranjera";"Total"
"Extremadura";3729;2,8;32796013;8795;"Total";"De 46 a 55 años";"Extranjera";"Total"
"Galicia";9623;1,45;136271915;14161;"Total";"De 46 a 55 años";"Extranjera";"Total"
"Madrid, Comunidad de";85893;1,39;1707812825;19883;"Total";"De 46 a 55 años";"Extranjera";"Total"
"Murcia, Región de";26156;1,91;315020239;12044;"Total";"De 46 a 55 años";"Extranjera";"Total"
"Rioja, La";4193;1,61;56129629;13387;"Total";"De 46 a 55 años";"Extranjera";"Total"
"Total";4614616;1,28;122620477691;26572;"Total";"De 46 a 55 años";"Total";"No"
"Andalucía";833771;1,4;17717887250;21250;"Total";"De 46 a 55 años";"Total";"No"
"Aragón";150875;1,27;3905224025;25884;"Total";"De 46 a 55 años";"Total";"No"
"Asturias, Principado de";100333;1,22;2661169174;26523;"Total";"De 46 a 55 años";"Total";"No"
"Balears,Illes";109490;1,22;2792019239;25500;"Total";"De 46 a 55 años";"Total";"No"
"Canarias";207468;1,2;4676538108;22541;"Total";"De 46 a 55 años";"Total";"No"
"Cantabria";57633;1,22;1434078378;24883;"Total";"De 46 a 55 años";"Total";"No"
"Castilla y León";245231;1,23;5993717033;24441;"Total";"De 46 a 55 años";"Total";"No"
"Castilla - La Mancha";212449;1,3;4896001181;23046;"Total";"De 46 a 55 años";"Total";"No"
"Cataluña";831164;1,24;25341215685;30489;"Total";"De 46 a 55 años";"Total";"No"
"Comunitat Valenciana";523026;1,26;12446747112;23798;"Total";"De 46 a 55 años";"Total";"No"
"Extremadura";107484;1,42;2080851176;19360;"Total";"De 46 a 55 años";"Total";"No"
"Galicia";268532;1,21;6649718326;24763;"Total";"De 46 a 55 años";"Total";"No"
"Madrid, Comunidad de";762809;1,23;27255505361;35730;"Total";"De 46 a 55 años";"Total";"No"
"Murcia, Región de";158843;1,34;3582816258;22556;"Total";"De 46 a 55 años";"Total";"No"
"Rioja, La";31605;1,26;780456214;24694;"Total";"De 46 a 55 años";"Total";"No"
"Ceuta";7184;1,21;212115380;29526;"Total";"De 46 a 55 años";"Total";"No"
"Melilla";6719;1,25;194417790;28936;"Total";"De 46 a 55 años";"Total";"No"
"Total";317867;1,22;5136295757;16159;"Total";"De 46 a 55 años";"Total";"Sí"
"Andalucía";44522;1,17;630424130;14160;"Total";"De 46 a 55 años";"Total";"Sí"
"Aragón";8820;1,2;162039620;18372;"Total";"De 46 a 55 años";"Total";"Sí"
"Asturias, Principado de";7566;1,2;112477007;14866;"Total";"De 46 a 55 años";"Total";"Sí"
"Balears,Illes";18894;1,14;302921033;16033;"Total";"De 46 a 55 años";"Total";"Sí"
"Canarias";30954;1,13;342766500;11073;"Total";"De 46 a 55 años";"Total";"Sí"
"Cantabria";4281;1,15;77031948;17994;"Total";"De 46 a 55 años";"Total";"Sí"
"Castilla y León";16103;1,2;251639267;15627;"Total";"De 46 a 55 años";"Total";"Sí"
"Castilla - La Mancha";9723;1,22;144134037;14824;"Total";"De 46 a 55 años";"Total";"Sí"
"Cataluña";67159;1,18;1255353019;18692;"Total";"De 46 a 55 años";"Total";"Sí"
"Comunitat Valenciana";35133;1,56;549948705;15653;"Total";"De 46 a 55 años";"Total";"Sí"
"Extremadura";3811;1,22;49715863;13045;"Total";"De 46 a 55 años";"Total";"Sí"
"Galicia";17866;1,18;284425973;15920;"Total";"De 46 a 55 años";"Total";"Sí"
"Madrid, Comunidad de";44445;1,19;851415782;19157;"Total";"De 46 a 55 años";"Total";"Sí"
"Murcia, Región de";5385;1,25;67655587;12564;"Total";"De 46 a 55 años";"Total";"Sí"
"Rioja, La";2815;1,18;50258856;17854;"Total";"De 46 a 55 años";"Total";"Sí"
"Ceuta";161;1,14;1492548;9270;"Total";"De 46 a 55 años";"Total";"Sí"
"Melilla";229;1,2;2595881;11336;"Total";"De 46 a 55 años";"Total";"Sí"
"Total";2794387;1,16;76011118873;27201;"Total";"De 56 a 65 años";"Española";"Total"
"Andalucía";491156;1,24;11230741657;22866;"Total";"De 56 a 65 años";"Española";"Total"
"Aragón";96654;1,14;2593012846;26828;"Total";"De 56 a 65 años";"Española";"Total"
"Asturias, Principado de";69376;1,13;1897989945;27358;"Total";"De 56 a 65 años";"Española";"Total"
"Balears,Illes";65999;1,11;1656430594;25098;"Total";"De 56 a 65 años";"Española";"Total"
"Canarias";116419;1,11;2776167294;23846;"Total";"De 56 a 65 años";"Española";"Total"
"Cantabria";39479;1,13;1012698797;25652;"Total";"De 56 a 65 años";"Española";"Total"
"Castilla y León";180749;1,14;4540514046;25121;"Total";"De 56 a 65 años";"Española";"Total"
"Castilla - La Mancha";128069;1,15;3054090827;23847;"Total";"De 56 a 65 años";"Española";"Total"
"Cataluña";495693;1,14;14833110535;29924;"Total";"De 56 a 65 años";"Española";"Total"
"Comunitat Valenciana";303851;1,16;7586480143;24968;"Total";"De 56 a 65 años";"Española";"Total"
"Extremadura";72802;1,25;1490024642;20467;"Total";"De 56 a 65 años";"Española";"Total"
"Galicia";167476;1,13;4311735948;25745;"Total";"De 56 a 65 años";"Española";"Total"
"Madrid, Comunidad de";454577;1,14;16035656445;35276;"Total";"De 56 a 65 años";"Española";"Total"
"Murcia, Región de";81621;1,15;2132389773;26126;"Total";"De 56 a 65 años";"Española";"Total"
"Rioja, La";20788;1,12;531054064;25546;"Total";"De 56 a 65 años";"Española";"Total"
"Total";159872;1,44;2406196969;15051;"Total";"De 56 a 65 años";"Extranjera";"Total"
"Andalucía";20299;1,61;237933414;11721;"Total";"De 56 a 65 años";"Extranjera";"Total"
"Aragón";6253;1,53;80789286;12920;"Total";"De 56 a 65 años";"Extranjera";"Total"
"Asturias, Principado de";1096;1,36;15700670;14325;"Total";"De 56 a 65 años";"Extranjera";"Total"
"Balears,Illes";8228;1,26;130480061;15858;"Total";"De 56 a 65 años";"Extranjera";"Total"
"Canarias";9203;1,24;104719905;11379;"Total";"De 56 a 65 años";"Extranjera";"Total"
"Cantabria";1005;1,3;13935492;13866;"Total";"De 56 a 65 años";"Extranjera";"Total"
"Castilla y León";5160;1,38;65424041;12679;"Total";"De 56 a 65 años";"Extranjera";"Total"
"Castilla - La Mancha";6083;1,69;71432614;11743;"Total";"De 56 a 65 años";"Extranjera";"Total"
"Cataluña";35232;1,37;633461341;17980;"Total";"De 56 a 65 años";"Extranjera";"Total"
"Comunitat Valenciana";22185;1,48;281220197;12676;"Total";"De 56 a 65 años";"Extranjera";"Total"
"Extremadura";1444;2,36;12391374;8581;"Total";"De 56 a 65 años";"Extranjera";"Total"
"Galicia";3207;1,31;45018596;14038;"Total";"De 56 a 65 años";"Extranjera";"Total"
"Madrid, Comunidad de";29538;1,31;588465354;19922;"Total";"De 56 a 65 años";"Extranjera";"Total"
"Murcia, Región de";9060;1,78;102815131;11348;"Total";"De 56 a 65 años";"Extranjera";"Total"
"Rioja, La";1386;1,6;16855573;12161;"Total";"De 56 a 65 años";"Extranjera";"Total"
"Total";2790844;1,18;76017025486;27238;"Total";"De 56 a 65 años";"Total";"No"
"Andalucía";489957;1,27;11180253637;22819;"Total";"De 56 a 65 años";"Total";"No"
"Aragón";98190;1,16;2588060124;26358;"Total";"De 56 a 65 años";"Total";"No"
"Asturias, Principado de";66458;1,13;1854448837;27904;"Total";"De 56 a 65 años";"Total";"No"
"Balears,Illes";62774;1,13;1617015177;25759;"Total";"De 56 a 65 años";"Total";"No"
"Canarias";110475;1,12;2718367639;24606;"Total";"De 56 a 65 años";"Total";"No"
"Cantabria";38173;1,13;990642485;25951;"Total";"De 56 a 65 años";"Total";"No"
"Castilla y León";177084;1,14;4484282399;25323;"Total";"De 56 a 65 años";"Total";"No"
"Castilla - La Mancha";129106;1,18;3057514799;23682;"Total";"De 56 a 65 años";"Total";"No"
"Cataluña";497614;1,16;14921387178;29986;"Total";"De 56 a 65 años";"Total";"No"
"Comunitat Valenciana";307680;1,17;7608173417;24728;"Total";"De 56 a 65 años";"Total";"No"
"Extremadura";72260;1,27;1478598384;20462;"Total";"De 56 a 65 años";"Total";"No"
"Galicia";162420;1,14;4243253459;26125;"Total";"De 56 a 65 años";"Total";"No"
"Madrid, Comunidad de";460202;1,15;16220401962;35246;"Total";"De 56 a 65 años";"Total";"No"
"Murcia, Región de";87877;1,21;2201766155;25055;"Total";"De 56 a 65 años";"Total";"No"
"Rioja, La";20611;1,16;521014482;25278;"Total";"De 56 a 65 años";"Total";"No"
"Ceuta";5294;1,11;176522122;33344;"Total";"De 56 a 65 años";"Total";"No"
"Melilla";4669;1,14;155323231;33267;"Total";"De 56 a 65 años";"Total";"No"
"Total";163415;1,16;2400290356;14688;"Total";"De 56 a 65 años";"Total";"Sí"
"Andalucía";21498;1,1;288421434;13416;"Total";"De 56 a 65 años";"Total";"Sí"
"Aragón";4717;1,12;85742009;18177;"Total";"De 56 a 65 años";"Total";"Sí"
"Asturias, Principado de";4014;1,14;59241778;14759;"Total";"De 56 a 65 años";"Total";"Sí"
"Balears,Illes";11453;1,08;169895479;14834;"Total";"De 56 a 65 años";"Total";"Sí"
"Canarias";15147;1,08;162519560;10729;"Total";"De 56 a 65 años";"Total";"Sí"
"Cantabria";2311;1,09;35991804;15574;"Total";"De 56 a 65 años";"Total";"Sí"
"Castilla y León";8825;1,13;121655689;13785;"Total";"De 56 a 65 años";"Total";"Sí"
"Castilla - La Mancha";5046;1,14;68008641;13478;"Total";"De 56 a 65 años";"Total";"Sí"
"Cataluña";33311;1,12;545184698;16367;"Total";"De 56 a 65 años";"Total";"Sí"
"Comunitat Valenciana";18356;1,53;259526924;14139;"Total";"De 56 a 65 años";"Total";"Sí"
"Extremadura";1986;1,13;23817632;11993;"Total";"De 56 a 65 años";"Total";"Sí"
"Galicia";8263;1,11;113501085;13736;"Total";"De 56 a 65 años";"Total";"Sí"
"Madrid, Comunidad de";23913;1,14;403719837;16883;"Total";"De 56 a 65 años";"Total";"Sí"
"Murcia, Región de";2804;1,16;33438748;11925;"Total";"De 56 a 65 años";"Total";"Sí"
"Rioja, La";1563;1,09;26895156;17207;"Total";"De 56 a 65 años";"Total";"Sí"
"Ceuta";76;1,09;743189;9779;"Total";"De 56 a 65 años";"Total";"Sí"
"Melilla";132;1,18;1986694;15051;"Total";"De 56 a 65 años";"Total";"Sí"
"Total";208344;1,09;4108801334;19721;"Total";"Mayor de 65 años";"Española";"Total"
"Andalucía";30444;1,09;478927674;15731;"Total";"Mayor de 65 años";"Española";"Total"
"Aragón";5856;1,09;117449476;20056;"Total";"Mayor de 65 años";"Española";"Total"
"Asturias, Principado de";4087;1,07;88152694;21569;"Total";"Mayor de 65 años";"Española";"Total"
"Balears,Illes";4350;1,1;87065578;20015;"Total";"Mayor de 65 años";"Española";"Total"
"Canarias";8353;1,08;154516502;18498;"Total";"Mayor de 65 años";"Española";"Total"
"Cantabria";2517;1,08;45323609;18007;"Total";"Mayor de 65 años";"Española";"Total"
"Castilla y León";12411;1,07;208192062;16775;"Total";"Mayor de 65 años";"Española";"Total"
"Castilla - La Mancha";8073;1,06;107297480;13291;"Total";"Mayor de 65 años";"Española";"Total"
"Cataluña";53652;1,09;951939144;17743;"Total";"Mayor de 65 años";"Española";"Total"
"Comunitat Valenciana";19866;1,1;378962659;19076;"Total";"Mayor de 65 años";"Española";"Total"
"Extremadura";4108;1,1;51265958;12480;"Total";"Mayor de 65 años";"Española";"Total"
"Galicia";12096;1,09;274427780;22687;"Total";"Mayor de 65 años";"Española";"Total"
"Madrid, Comunidad de";34922;1,11;1006207242;28813;"Total";"Mayor de 65 años";"Española";"Total"
"Murcia, Región de";5221;1,08;111326582;21323;"Total";"Mayor de 65 años";"Española";"Total"
"Rioja, La";1561;1,07;26515172;16986;"Total";"Mayor de 65 años";"Española";"Total"
"Total";13303;1,28;186964433;14054;"Total";"Mayor de 65 años";"Extranjera";"Total"
"Andalucía";1692;1,31;25683937;15180;"Total";"Mayor de 65 años";"Extranjera";"Total"
"Aragón";338;1,57;3716035;10994;"Total";"Mayor de 65 años";"Extranjera";"Total"
"Asturias, Principado de";75;1,19;1233220;16443;"Total";"Mayor de 65 años";"Extranjera";"Total"
"Balears,Illes";952;1,15;14105705;14817;"Total";"Mayor de 65 años";"Extranjera";"Total"
"Canarias";1083;1,13;12258054;11319;"Total";"Mayor de 65 años";"Extranjera";"Total"
"Cantabria";84;1,06;1035471;12327;"Total";"Mayor de 65 años";"Extranjera";"Total"
"Castilla y León";326;1,18;3292332;10099;"Total";"Mayor de 65 años";"Extranjera";"Total"
"Castilla - La Mancha";416;1,57;4061910;9764;"Total";"Mayor de 65 años";"Extranjera";"Total"
"Cataluña";2778;1,26;48910721;17606;"Total";"Mayor de 65 años";"Extranjera";"Total"
"Comunitat Valenciana";1748;1,28;18554237;10615;"Total";"Mayor de 65 años";"Extranjera";"Total"
"Extremadura";118;1,61;1079524;9149;"Total";"Mayor de 65 años";"Extranjera";"Total"
"Galicia";251;1,2;3020512;12034;"Total";"Mayor de 65 años";"Extranjera";"Total"
"Madrid, Comunidad de";2665;1,22;41940023;15737;"Total";"Mayor de 65 años";"Extranjera";"Total"
"Murcia, Región de";622;1,6;6138222;9869;"Total";"Mayor de 65 años";"Extranjera";"Total"
"Rioja, La";93;1,95;1235662;13287;"Total";"Mayor de 65 años";"Extranjera";"Total"
"Total";216290;1,1;4248247700;19641;"Total";"Mayor de 65 años";"Total";"No"
"Andalucía";31493;1,11;498950547;15843;"Total";"Mayor de 65 años";"Total";"No"
"Aragón";6109;1,11;120480567;19722;"Total";"Mayor de 65 años";"Total";"No"
"Asturias, Principado de";NA;NA;NA;NA;"Total";"Mayor de 65 años";"Total";"No"
"Balears,Illes";4901;1,11;96422508;19674;"Total";"Mayor de 65 años";"Total";"No"
"Canarias";8769;1,09;162287603;18507;"Total";"Mayor de 65 años";"Total";"No"
"Cantabria";NA;NA;NA;NA;"Total";"Mayor de 65 años";"Total";"No"
"Castilla y León";NA;NA;NA;NA;"Total";"Mayor de 65 años";"Total";"No"
"Castilla - La Mancha";8375;1,09;110518300;13196;"Total";"Mayor de 65 años";"Total";"No"
"Cataluña";55299;1,1;988439425;17874;"Total";"Mayor de 65 años";"Total";"No"
"Comunitat Valenciana";21021;1,1;393190831;18705;"Total";"Mayor de 65 años";"Total";"No"
"Extremadura";NA;NA;NA;NA;"Total";"Mayor de 65 años";"Total";"No"
"Galicia";12061;1,09;274815214;22785;"Total";"Mayor de 65 años";"Total";"No"
"Madrid, Comunidad de";36774;1,12;1040851294;28304;"Total";"Mayor de 65 años";"Total";"No"
"Murcia, Región de";NA;NA;NA;NA;"Total";"Mayor de 65 años";"Total";"No"
"Rioja, La";NA;NA;NA;NA;"Total";"Mayor de 65 años";"Total";"No"
"Ceuta";NA;NA;NA;NA;"Total";"Mayor de 65 años";"Total";"No"
"Melilla";NA;NA;NA;NA;"Total";"Mayor de 65 años";"Total";"No"
"Total";5357;1,14;47518067;8870;"Total";"Mayor de 65 años";"Total";"Sí"
"Andalucía";643;1,06;5661065;8804;"Total";"Mayor de 65 años";"Total";"Sí"
"Aragón";85;1,11;684945;8058;"Total";"Mayor de 65 años";"Total";"Sí"
"Asturias, Principado de";NA;NA;NA;NA;"Total";"Mayor de 65 años";"Total";"Sí"
"Balears,Illes";401;1,07;4748775;11842;"Total";"Mayor de 65 años";"Total";"Sí"
"Canarias";667;1,05;4486952;6727;"Total";"Mayor de 65 años";"Total";"Sí"
"Cantabria";NA;NA;NA;NA;"Total";"Mayor de 65 años";"Total";"Sí"
