"Espacio";"Asalariados";"Percepciones  por persona";"Salarios";"Salario  Medio Anual";"sexo";"edad";"nacionalidad";"erte"
"Extremadura";1111;1,72;1784095;1606;"Total";"Menor de 18 años";"Total";"Total"
"Galicia";1917;1,12;3626441;1892;"Total";"Menor de 18 años";"Total";"Total"
"Madrid, Comunidad de";6436;1,23;14788479;2298;"Total";"Menor de 18 años";"Total";"Total"
"Murcia, Región de";1746;1,2;3323147;1903;"Total";"Menor de 18 años";"Total";"Total"
"Rioja, La";466;1,34;746199;1601;"Total";"Menor de 18 años";"Total";"Total"
"Ceuta";60;1,17;193371;3223;"Total";"Menor de 18 años";"Total";"Total"
"Melilla";117;1,17;166060;1419;"Total";"Menor de 18 años";"Total";"Total"
"Total";1911577;1,68;14735993910;7709;"Total";"De 18 a 25 años";"Total";"Total"
"Andalucía";352223;1,81;2297636442;6523;"Total";"De 18 a 25 años";"Total";"Total"
"Aragón";59400;1,66;493545822;8309;"Total";"De 18 a 25 años";"Total";"Total"
"Asturias, Principado de";26857;1,53;198565722;7393;"Total";"De 18 a 25 años";"Total";"Total"
"Balears,Illes";57213;1,52;469356931;8204;"Total";"De 18 a 25 años";"Total";"Total"
"Canarias";75921;1,5;541558663;7133;"Total";"De 18 a 25 años";"Total";"Total"
"Cantabria";20223;1,57;143109792;7077;"Total";"De 18 a 25 años";"Total";"Total"
"Castilla y León";85484;1,62;651055207;7616;"Total";"De 18 a 25 años";"Total";"Total"
"Castilla - La Mancha";95110;1,76;737338921;7752;"Total";"De 18 a 25 años";"Total";"Total"
"Cataluña";410651;1,65;3676239631;8952;"Total";"De 18 a 25 años";"Total";"Total"
"Comunitat Valenciana";221392;1,66;1593992539;7200;"Total";"De 18 a 25 años";"Total";"Total"
"Extremadura";43576;1,96;282504710;6483;"Total";"De 18 a 25 años";"Total";"Total"
"Galicia";81311;1,57;604853834;7439;"Total";"De 18 a 25 años";"Total";"Total"
"Madrid, Comunidad de";284830;1,63;2344403637;8231;"Total";"De 18 a 25 años";"Total";"Total"
"Murcia, Región de";75936;1,75;538496059;7091;"Total";"De 18 a 25 años";"Total";"Total"
"Rioja, La";13437;1,69;101701316;7569;"Total";"De 18 a 25 años";"Total";"Total"
"Ceuta";3267;1,47;25332374;7754;"Total";"De 18 a 25 años";"Total";"Total"
"Melilla";4746;1,58;36302311;7649;"Total";"De 18 a 25 años";"Total";"Total"
"Total";3843581;1,53;67635493911;17597;"Total";"De 26 a 35 años";"Total";"Total"
"Andalucía";747088;1,68;10525818965;14089;"Total";"De 26 a 35 años";"Total";"Total"
"Aragón";111338;1,49;2040848099;18330;"Total";"De 26 a 35 años";"Total";"Total"
"Asturias, Principado de";63696;1,45;1097829565;17235;"Total";"De 26 a 35 años";"Total";"Total"
"Balears,Illes";109728;1,44;1837480198;16746;"Total";"De 26 a 35 años";"Total";"Total"
"Canarias";187497;1,42;2680874840;14298;"Total";"De 26 a 35 años";"Total";"Total"
"Cantabria";40751;1,45;688090206;16885;"Total";"De 26 a 35 años";"Total";"Total"
"Castilla y León";174102;1,49;3000494900;17234;"Total";"De 26 a 35 años";"Total";"Total"
"Castilla - La Mancha";179155;1,56;2920183305;16300;"Total";"De 26 a 35 años";"Total";"Total"
"Cataluña";692524;1,47;14329970853;20692;"Total";"De 26 a 35 años";"Total";"Total"
"Comunitat Valenciana";414575;1,53;6873041165;16579;"Total";"De 26 a 35 años";"Total";"Total"
"Extremadura";93041;1,73;1253003907;13467;"Total";"De 26 a 35 años";"Total";"Total"
"Galicia";196338;1,46;3257316720;16590;"Total";"De 26 a 35 años";"Total";"Total"
"Madrid, Comunidad de";661585;1,48;14399897043;21766;"Total";"De 26 a 35 años";"Total";"Total"
"Murcia, Región de";133839;1,57;2081478342;15552;"Total";"De 26 a 35 años";"Total";"Total"
"Rioja, La";23542;1,51;393684617;16723;"Total";"De 26 a 35 años";"Total";"Total"
"Ceuta";7011;1,42;119093948;16987;"Total";"De 26 a 35 años";"Total";"Total"
"Melilla";7771;1,43;136387237;17551;"Total";"De 26 a 35 años";"Total";"Total"
"Total";5053858;1,35;115353936695;22825;"Total";"De 36 a 45 años";"Total";"Total"
"Andalucía";944087;1,47;17527528085;18566;"Total";"De 36 a 45 años";"Total";"Total"
"Aragón";153428;1,33;3509927404;22877;"Total";"De 36 a 45 años";"Total";"Total"
"Asturias, Principado de";103989;1,28;2343620161;22537;"Total";"De 36 a 45 años";"Total";"Total"
"Balears,Illes";138338;1,29;2902386006;20980;"Total";"De 36 a 45 años";"Total";"Total"
"Canarias";236191;1,27;4380172866;18545;"Total";"De 36 a 45 años";"Total";"Total"
"Cantabria";63259;1,27;1383242587;21866;"Total";"De 36 a 45 años";"Total";"Total"
"Castilla y León";245284;1,29;5326301432;21715;"Total";"De 36 a 45 años";"Total";"Total"
"Castilla - La Mancha";236352;1,38;4956962403;20973;"Total";"De 36 a 45 años";"Total";"Total"
"Cataluña";903737;1,31;23685355269;26208;"Total";"De 36 a 45 años";"Total";"Total"
"Comunitat Valenciana";568163;1,36;11974167617;21075;"Total";"De 36 a 45 años";"Total";"Total"
"Extremadura";109049;1,49;1948332467;17867;"Total";"De 36 a 45 años";"Total";"Total"
"Galicia";293819;1,28;6241976826;21244;"Total";"De 36 a 45 años";"Total";"Total"
"Madrid, Comunidad de";827968;1,29;24477032000;29563;"Total";"De 36 a 45 años";"Total";"Total"
"Murcia, Región de";180350;1,43;3574894920;19822;"Total";"De 36 a 45 años";"Total";"Total"
"Rioja, La";33824;1,32;732010196;21642;"Total";"De 36 a 45 años";"Total";"Total"
"Ceuta";8091;1,27;197798506;24447;"Total";"De 36 a 45 años";"Total";"Total"
"Melilla";7929;1,29;192227949;24244;"Total";"De 36 a 45 años";"Total";"Total"
"Total";4932483;1,27;127756773448;25901;"Total";"De 46 a 55 años";"Total";"Total"
"Andalucía";878293;1,39;18348311380;20891;"Total";"De 46 a 55 años";"Total";"Total"
"Aragón";159695;1,27;4067263646;25469;"Total";"De 46 a 55 años";"Total";"Total"
"Asturias, Principado de";107899;1,22;2773646181;25706;"Total";"De 46 a 55 años";"Total";"Total"
"Balears,Illes";128384;1,21;3094940272;24107;"Total";"De 46 a 55 años";"Total";"Total"
"Canarias";238422;1,19;5019304609;21052;"Total";"De 46 a 55 años";"Total";"Total"
"Cantabria";61914;1,21;1511110325;24407;"Total";"De 46 a 55 años";"Total";"Total"
"Castilla y León";261334;1,23;6245356300;23898;"Total";"De 46 a 55 años";"Total";"Total"
"Castilla - La Mancha";222172;1,29;5040135218;22686;"Total";"De 46 a 55 años";"Total";"Total"
"Cataluña";898323;1,24;26596568704;29607;"Total";"De 46 a 55 años";"Total";"Total"
"Comunitat Valenciana";558159;1,28;12996695817;23285;"Total";"De 46 a 55 años";"Total";"Total"
"Extremadura";111295;1,42;2130567039;19143;"Total";"De 46 a 55 años";"Total";"Total"
"Galicia";286398;1,21;6934144299;24212;"Total";"De 46 a 55 años";"Total";"Total"
"Madrid, Comunidad de";807254;1,22;28106921143;34818;"Total";"De 46 a 55 años";"Total";"Total"
"Murcia, Región de";164228;1,34;3650471845;22228;"Total";"De 46 a 55 años";"Total";"Total"
"Rioja, La";34420;1,26;830715071;24135;"Total";"De 46 a 55 años";"Total";"Total"
"Ceuta";7345;1,21;213607928;29082;"Total";"De 46 a 55 años";"Total";"Total"
"Melilla";6948;1,25;197013671;28355;"Total";"De 46 a 55 años";"Total";"Total"
"Total";2954259;1,18;78417315842;26544;"Total";"De 56 a 65 años";"Total";"Total"
"Andalucía";511455;1,26;11468675070;22424;"Total";"De 56 a 65 años";"Total";"Total"
"Aragón";102907;1,16;2673802133;25983;"Total";"De 56 a 65 años";"Total";"Total"
"Asturias, Principado de";70472;1,13;1913690615;27155;"Total";"De 56 a 65 años";"Total";"Total"
"Balears,Illes";74227;1,13;1786910655;24074;"Total";"De 56 a 65 años";"Total";"Total"
"Canarias";125622;1,12;2880887199;22933;"Total";"De 56 a 65 años";"Total";"Total"
"Cantabria";40484;1,13;1026634289;25359;"Total";"De 56 a 65 años";"Total";"Total"
"Castilla y León";185909;1,14;4605938088;24775;"Total";"De 56 a 65 años";"Total";"Total"
"Castilla - La Mancha";134152;1,18;3125523440;23298;"Total";"De 56 a 65 años";"Total";"Total"
"Cataluña";530925;1,16;15466571877;29131;"Total";"De 56 a 65 años";"Total";"Total"
"Comunitat Valenciana";326036;1,19;7867700341;24131;"Total";"De 56 a 65 años";"Total";"Total"
"Extremadura";74246;1,27;1502416016;20236;"Total";"De 56 a 65 años";"Total";"Total"
"Galicia";170683;1,14;4356754544;25525;"Total";"De 56 a 65 años";"Total";"Total"
"Madrid, Comunidad de";484115;1,15;16624121799;34339;"Total";"De 56 a 65 años";"Total";"Total"
"Murcia, Región de";90681;1,21;2235204904;24649;"Total";"De 56 a 65 años";"Total";"Total"
"Rioja, La";22174;1,15;547909638;24710;"Total";"De 56 a 65 años";"Total";"Total"
"Ceuta";5370;1,11;177265312;33010;"Total";"De 56 a 65 años";"Total";"Total"
"Melilla";4801;1,14;157309924;32766;"Total";"De 56 a 65 años";"Total";"Total"
"Total";221647;1,1;4295765768;19381;"Total";"Mayor de 65 años";"Total";"Total"
"Andalucía";32136;1,1;504611611;15702;"Total";"Mayor de 65 años";"Total";"Total"
"Aragón";6194;1,11;121165512;19562;"Total";"Mayor de 65 años";"Total";"Total"
"Asturias, Principado de";4162;1,07;89385915;21477;"Total";"Mayor de 65 años";"Total";"Total"
"Balears,Illes";5302;1,11;101171283;19082;"Total";"Mayor de 65 años";"Total";"Total"
